Pubchem_CID,Inchikey,Targets ,Canonical_smiles,
7,MUIPLRMGAXZWSQ-UHFFFAOYSA-N,ADORA1,CCn1cnc2c1ncnc2N,
7,MUIPLRMGAXZWSQ-UHFFFAOYSA-N,ADORA2A,CCn1cnc2c1ncnc2N,
7,MUIPLRMGAXZWSQ-UHFFFAOYSA-N,HSP90AA1,CCn1cnc2c1ncnc2N,
9,INAPMGSXUVUWAF-UHFFFAOYSA-N,IMPA1,P(OC1C(O)C(O)C(O)C(O)C1O)(O)(O)=O,
9,INAPMGSXUVUWAF-UHFFFAOYSA-N,SFTPD,P(OC1C(O)C(O)C(O)C(O)C1O)(O)(O)=O,
11,WSLDOOZREJYCGB-UHFFFAOYSA-N,INS,ClCCCl,
13,PBKONEOXTCPAFI-UHFFFAOYSA-N,TP53,Clc1ccc(c(c1)Cl)Cl,
15,NVKAWKQGWWIWPM-UHFFFAOYSA-N,AKR1D1,OC1CCC2C3C(CCC12C)C1(C(CC(=O)CC1)CC3)C,
15,NVKAWKQGWWIWPM-UHFFFAOYSA-N,HSD17B1,OC1CCC2C3C(CCC12C)C1(C(CC(=O)CC1)CC3)C,
15,NVKAWKQGWWIWPM-UHFFFAOYSA-N,SHBG,OC1CCC2C3C(CCC12C)C1(C(CC(=O)CC1)CC3)C,
19,GLDQAMYCGOIJDV-UHFFFAOYSA-N,LCN2,Oc1c(cccc1O)C(O)=O,
43,HWXBTNAVRSUOJR-UHFFFAOYSA-N,HIF1AN,OC(CCC(O)=O)C(O)=O,
43,HWXBTNAVRSUOJR-UHFFFAOYSA-N,KDM4A,OC(CCC(O)=O)C(O)=O,
49,QHKABHOOEWYVLI-UHFFFAOYSA-N,BCAT2,OC(=O)C(=O)C(C)C,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,HIF1A,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,AADAT,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,ALKBH2,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,ALKBH3,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,ALKBH5,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,ALKBH7,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,ALKBH8,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,EGLN1,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,GLUD1,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,GLUD2,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,HIF1AN,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,IDH1,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,JMJD6,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,KDM2A,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,KDM4A,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,KDM4D,OC(=O)CCC(=O)C(=O)O,
51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,KDM6B,OC(=O)CCC(=O)C(=O)O,
